asset_id,site_id,asset_type,manufacturer,model_number,install_date,rated_capacity_kw,asset_status,criticality
AST000001,SITE0001,Solar Inverter,Novapower,MDL-144,2018-03-25,1559.3,Maintenance,Medium
AST000002,SITE0001,Solar Inverter,Heliotech,MDL-779,2024-10-29,3074.65,Standby,Medium
AST000003,SITE0001,Solar Inverter,Voltedge,MDL-902,2017-10-03,1244.9,Maintenance,Critical
AST000004,SITE0001,Solar Inverter,Ecodyn,MDL-214,2016-05-02,348.68,Retired,Medium
AST000005,SITE0001,Solar Inverter,Voltedge,MDL-766,,2819.31,Standby,Medium
AST000006,SITE0001,Solar Inverter,Voltedge,MDL-144,,151.09,Maintenance,High
AST000007,SITE0001,Solar Inverter,Novapower,MDL-644,2019-12-11,3414.81,Retired,Medium
AST000008,SITE0001,Solar Inverter,Aeroflux,MDL-984,2015-11-10,2398.28,Standby,Low
AST000009,SITE0002,Battery Rack,Aeroflux,MDL-160,2018-05-13,424.36,Active,Medium
AST000010,SITE0002,Battery Rack,Aeroflux,MDL-528,,130.8,Active,Low
AST000011,SITE0002,Battery Rack,Heliotech,MDL-901,,2741.48,Maintenance,Medium
AST000012,SITE0002,Battery Rack,Voltedge,MDL-306,2021-03-24,2723.71,Active,Low
AST000013,SITE0002,Battery Rack,Heliotech,MDL-276,,2042.71,Retired,Medium
AST000014,SITE0002,Battery Rack,Heliotech,MDL-431,2023-01-10,3137.51,Maintenance,High
AST000015,SITE0002,Battery Rack,Aeroflux,MDL-325,2024-09-23,3336.84,Retired,Medium
AST000016,SITE0003,Solar Inverter,Voltedge,MDL-668,,2595.44,Maintenance,Low
AST000017,SITE0003,Solar Inverter,Novapower,MDL-127,2019-10-23,3056.64,Retired,Critical
AST000018,SITE0003,Solar Inverter,Gridworks,MDL-561,2023-02-13,3006.08,Standby,Low
AST000019,SITE0003,Solar Inverter,Novapower,MDL-278,,406.19,Maintenance,Critical
AST000020,SITE0003,Solar Inverter,Ecodyn,MDL-706,2019-02-12,3310.28,Active,High
AST000021,SITE0003,Solar Inverter,Gridworks,MDL-286,,3124.88,Active,Low
AST000022,SITE0003,Solar Inverter,Voltedge,MDL-900,,2823.22,Active,Medium
AST000023,SITE0003,Solar Inverter,Ecodyn,MDL-742,,1966.45,Active,Medium
AST000024,SITE0004,Solar Inverter,Aeroflux,MDL-317,,1966.25,Active,Medium
AST000025,SITE0004,Solar Inverter,Novapower,MDL-952,,2213.1,Active,Critical
AST000026,SITE0004,Solar Inverter,Gridworks,MDL-801,,1858.68,Active,Low
AST000027,SITE0004,Solar Inverter,Heliotech,MDL-830,2016-10-22,2298.15,Maintenance,Low
AST000028,SITE0004,Solar Inverter,Heliotech,MDL-138,2017-03-25,1350.26,Active,Medium
AST000029,SITE0004,Solar Inverter,Voltedge,MDL-189,,3170.1,Retired,High
AST000030,SITE0004,Solar Inverter,Ecodyn,MDL-964,2015-05-10,1126.98,Active,Medium
AST000031,SITE0004,Solar Inverter,Voltedge,MDL-833,,2637.58,Active,High
AST000032,SITE0005,Transformer,Gridworks,MDL-892,,3489.24,Maintenance,Medium
AST000033,SITE0005,Feeder,Novapower,MDL-451,2019-01-03,2627.56,Active,Critical
