product_id,product_name,category,subcategory,brand,supplier_id,standard_cost,list_price,unit_weight_lbs,hazmat_flag,temperature_controlled_flag,launch_date,product_status
SKU0000001,Pro Furniture Item 1,Home,Kitchen,Solace,SUP00004,117.06,240.88,66.426,False,False,2026-03-14,Seasonal
SKU0000002,Eco Lighting Item 2,Home,Kitchen,Everpeak,SUP00076,191.37,462.07,70.983,False,False,,Seasonal
SKU0000003,Eco Lighting Item 3,Home,Kitchen,Northline,SUP00014,65.98,147.63,72.361,False,True,2023-10-23,Discontinued
SKU0000004,Compact Lighting Item 4,Home,Storage,Solace,SUP00003,11.66,18.15,40.268,False,False,2022-02-27,Seasonal
SKU0000005,Pro Medical Supplies Item 5,Health,Wellness,Everpeak,SUP00109,199.28,262.04,12.127,False,False,2025-04-24,Active
SKU0000006,Ultra Kitchen Item 6,Home,Kitchen,Cobalt,SUP00066,136.41,251.2,60.024,False,False,,Seasonal
SKU0000007,Essential Printing Item 7,Office,Desk Setup,Aster,SUP00005,151.15,393.57,10.567,False,False,,Active
SKU0000008,Eco Outerwear Item 8,Apparel,Basics,Solace,SUP00069,295.17,557.47,36.513,False,False,,Active
SKU0000009,Premium Outerwear Item 9,Apparel,Outerwear,Cobalt,SUP00003,27.56,58.17,66.159,False,False,2021-12-12,Active
SKU0000010,Classic Accessories Item 10,Electronics,Computing,Everpeak,SUP00044,204.35,561.85,12.774,True,False,2023-03-12,Active
SKU0000011,Ultra Medical Supplies Item 11,Health,Medical Supplies,Everpeak,SUP00088,230.18,370.08,22.434,False,False,2023-11-28,Seasonal
SKU0000012,Compact Wellness Item 12,Health,Wellness,Aster,SUP00069,220.94,380.83,60.299,False,True,,Active
SKU0000013,Ultra Pantry Item 13,Grocery,Pantry,Solace,SUP00016,203.47,442.83,29.192,False,True,,Discontinued
SKU0000014,Essential Fitness Item 14,Apparel,Fitness,Cobalt,SUP00038,187.4,239.95,19.53,True,True,,Active
SKU0000015,Pro Footwear Item 15,Apparel,Outerwear,Nimbus,SUP00095,248.5,315.73,6.592,True,True,2021-06-25,Seasonal
SKU0000016,Eco Computing Item 16,Electronics,Audio,Cobalt,SUP00064,11.21,17.23,2.155,False,True,,Active
SKU0000017,Eco Beverage Item 17,Grocery,Snack,Aster,SUP00094,62.92,105.7,43.481,False,False,2023-05-29,Seasonal
SKU0000018,Eco Basics Item 18,Apparel,Basics,Solace,SUP00039,77.5,117.57,60.732,False,True,,Discontinued
SKU0000019,Ultra Personal Care Item 19,Health,Wellness,Northline,SUP00020,61.36,154.89,54.296,True,False,,Discontinued
SKU0000020,Essential Organization Item 20,Office,Desk Setup,Solace,SUP00054,92.34,253.39,3.095,True,False,,Active
SKU0000021,Essential Printing Item 21,Office,Desk Setup,Northline,SUP00115,247.69,601.16,41.815,True,False,2023-07-25,Active
SKU0000022,Essential Basics Item 22,Apparel,Footwear,Solace,SUP_BAD,299.83,528.34,24.978,False,False,2025-03-30,Active
SKU0000023,Essential Fitness Item 23,Apparel,Fitness,Northline,SUP00100,247.82,549.0,21.779,False,True,2022-04-08,Discontinued
SKU0000024,Classic Footwear Item 24,Apparel,Outerwear,Everpeak,SUP00065,222.57,389.01,74.336,False,False,,Seasonal
SKU0000025,Ultra Beverage Item 25,Grocery,Snack,Solace,SUP00049,190.45,269.42,11.061,False,False,2020-10-02,Discontinued
SKU0000026,Premium Lighting Item 26,Home,Storage,Northline,SUP00095,161.1,226.38,24.055,False,False,,Active
SKU0000027,Eco Wellness Item 27,Health,Wellness,Cobalt,SUP00046,144.08,344.35,70.158,False,False,,Active
SKU0000028,Eco Personal Care Item 28,Health,Pharmacy,Solace,SUP00026,209.57,357.42,51.997,False,True,,Active
SKU0000029,Compact Furniture Item 29,Home,Storage,Cobalt,SUP00042,185.38,238.54,49.233,False,True,2025-02-25,Seasonal
SKU0000030,Classic Footwear Item 30,Apparel,Basics,Nimbus,SUP00003,167.95,411.27,34.585,False,False,,Seasonal
SKU0000031,Ultra Organization Item 31,Office,Printing,Nimbus,SUP00093,81.03,194.27,43.778,False,True,2020-06-21,Active
SKU0000032,Pro Pharmacy Item 32,Health,Wellness,Solace,SUP00039,111.82,176.01,71.288,False,False,2021-04-13,Active
SKU0000033,Essential Outerwear Item 33,Apparel,Footwear,Northline,SUP_BAD,,28.35,31.28,True,False,2022-08-31,Active
SKU0000034,Eco Personal Care Item 34,Health,Pharmacy,Cobalt,SUP00108,185.14,345.47,33.573,False,False,,Seasonal
SKU0000035,Classic Accessories Item 35,Electronics,Accessories,Everpeak,SUP00036,97.06,202.29,7.685,False,False,2025-04-20,Active
SKU0000036,Compact Desk Setup Item 36,Office,Printing,Northline,SUP00038,18.54,27.95,58.548,True,False,2021-12-24,Active
SKU0000037,Premium Medical Supplies Item 37,Health,Medical Supplies,Nimbus,SUP00008,32.94,69.22,2.375,False,False,2023-06-17,Active
SKU0000038,Eco Audio Item 38,Electronics,Computing,Nimbus,SUP00038,240.3,548.95,15.577,True,False,,Active
SKU0000039,Eco Stationery Item 39,Office,Organization,Solace,SUP00042,186.43,388.31,63.871,False,False,2021-04-13,Active
SKU0000040,Classic Frozen Item 40,Grocery,Snack,Aster,SUP00018,287.52,385.91,40.011,True,True,,Seasonal
SKU0000041,Premium Fitness Item 41,Apparel,Fitness,Solace,SUP00106,227.5,534.38,24.675,False,False,2025-05-23,Active
SKU0000042,Pro Outerwear Item 42,Apparel,Basics,Nimbus,SUP00014,55.38,80.35,33.868,True,False,,Discontinued
SKU0000043,Pro Medical Supplies Item 43,Health,Medical Supplies,Cobalt,SUP00042,298.47,533.91,69.007,False,False,,Discontinued
SKU0000044,Classic Furniture Item 44,Home,Lighting,Everpeak,SUP00050,154.8,417.16,23.756,True,False,,Seasonal
SKU0000045,Ultra Snack Item 45,Grocery,Frozen,Aster,SUP00009,212.28,332.77,11.114,False,True,2024-06-13,Active
SKU0000046,Eco Footwear Item 46,Apparel,Fitness,Aster,SUP00079,3.14,8.67,28.989,True,True,2025-04-29,Active
SKU0000047,Essential Computing Item 47,Electronics,Accessories,Northline,SUP00049,62.67,132.92,22.666,False,False,,Seasonal
SKU0000048,Classic Accessories Item 48,Electronics,Computing,Northline,SUP00054,245.28,662.92,57.052,False,False,,Active
SKU0000049,Pro Pharmacy Item 49,Health,Personal Care,Cobalt,SUP00064,163.72,442.21,3.479,False,False,2021-06-22,Discontinued
SKU0000050,Classic Desk Setup Item 50,Office,Desk Setup,Cobalt,SUP00115,40.49,75.45,26.267,False,False,,Active
SKU0000051,Pro Personal Care Item 51,Health,Wellness,Everpeak,SUP00057,99.4,272.27,46.268,False,False,,Seasonal
SKU0000052,Ultra Smart Home Item 52,Electronics,Smart Home,Solace,SUP00048,81.58,210.59,53.556,True,True,2021-02-16,Active
SKU0000053,Premium Lighting Item 53,Home,Furniture,Aster,SUP00097,104.27,128.13,64.808,False,False,,Active
SKU0000054,Eco Medical Supplies Item 54,Health,Pharmacy,Everpeak,SUP00095,44.17,61.85,50.647,True,False,2021-04-30,Active
SKU0000055,Pro Accessories Item 55,Electronics,Computing,Solace,SUP00006,200.83,249.5,43.37,True,False,2025-02-07,Discontinued
SKU0000056,Eco Computing Item 56,Electronics,Accessories,Everpeak,SUP00069,,569.64,26.943,False,False,2022-11-19,Active
SKU0000057,Premium Basics Item 57,Apparel,Basics,Everpeak,SUP00038,193.77,260.71,24.797,True,False,2024-11-09,Active
SKU0000058,Compact Organization Item 58,Office,Organization,Aster,SUP_BAD,170.69,448.59,3.828,True,False,2025-01-21,Active
SKU0000059,Pro Desk Setup Item 59,Office,Organization,Aster,SUP00081,145.09,,40.671,False,False,2020-05-19,Discontinued
SKU0000060,Classic Basics Item 60,Apparel,Fitness,Aster,SUP00020,,32.77,33.931,False,False,,Active
SKU0000061,Eco Beverage Item 61,Grocery,Beverage,Cobalt,SUP00022,234.26,451.94,70.204,False,True,2020-08-07,Discontinued
SKU0000062,Classic Footwear Item 62,Apparel,Footwear,Northline,SUP00097,242.15,528.0,73.339,False,False,,Active
SKU0000063,Ultra Lighting Item 63,Home,Storage,Aster,SUP00048,147.68,225.13,56.496,False,False,2024-04-19,Active
SKU0000064,Ultra Medical Supplies Item 64,Health,Wellness,Everpeak,SUP00038,136.31,291.67,43.28,True,False,2022-12-15,Discontinued
SKU0000065,Ultra Pantry Item 65,Grocery,Snack,Nimbus,SUP00033,90.37,251.42,11.073,False,False,2024-03-17,Active
SKU0000066,Premium Frozen Item 66,Grocery,Beverage,Solace,SUP00074,295.43,796.69,62.958,False,False,,Active
SKU0000067,Ultra Pharmacy Item 67,Health,Wellness,Northline,SUP00095,213.22,303.39,13.181,False,False,,Seasonal
SKU0000068,Essential Lighting Item 68,Home,Furniture,Aster,SUP00052,198.9,383.07,16.753,False,True,,Active
SKU0000069,Eco Storage Item 69,Home,Lighting,Everpeak,SUP00019,224.21,432.52,48.925,False,False,,Seasonal
SKU0000070,Premium Stationery Item 70,Office,Organization,Nimbus,SUP00008,21.6,46.46,24.721,False,False,,Active
SKU0000071,Pro Basics Item 71,Apparel,Fitness,Cobalt,SUP00055,92.75,245.77,35.568,True,False,,Active
SKU0000072,Pro Frozen Item 72,Grocery,Snack,Cobalt,SUP00117,156.32,362.29,51.098,False,False,2024-07-11,Active
SKU0000073,Ultra Desk Setup Item 73,Office,Organization,Nimbus,SUP00058,238.16,496.73,26.508,True,False,2024-12-12,Seasonal
SKU0000074,Pro Furniture Item 74,Home,Furniture,Aster,SUP00038,101.16,217.63,73.648,False,False,2024-03-14,Seasonal
SKU0000075,Pro Frozen Item 75,Grocery,Beverage,Northline,SUP00079,21.18,38.35,30.309,False,False,2025-04-09,Active
SKU0000076,Eco Snack Item 76,Grocery,Frozen,Northline,SUP00113,64.98,169.75,28.155,False,False,2023-10-13,Active
SKU0000077,Eco Basics Item 77,Apparel,Basics,Cobalt,SUP00061,83.37,156.87,5.726,True,False,,Active
SKU0000078,Pro Outerwear Item 78,Apparel,Footwear,Cobalt,SUP00028,106.21,139.11,67.943,False,False,2020-04-24,Seasonal
SKU0000079,Premium Printing Item 79,Office,Stationery,Cobalt,SUP00053,175.49,216.55,55.374,True,False,,Discontinued
SKU0000080,Ultra Beverage Item 80,Grocery,Pantry,Solace,SUP00013,270.52,605.15,49.031,False,False,2021-08-17,Active
SKU0000081,Compact Storage Item 81,Home,Storage,Nimbus,SUP00008,227.93,566.44,0.786,False,False,2023-02-08,Active
SKU0000082,Eco Stationery Item 82,Office,Printing,Nimbus,SUP00029,122.49,248.33,0.703,False,False,,Seasonal
