customer_id,customer_name,segment,city,state,region,signup_date,credit_class,autopay_flag,active_flag
CUST0000001,Urban Homes 1,Municipal,Phoenix,AZ,West,2025-09-06,B,Yes,N
CUST0000002,Green Manufacturing 2,Industrial,Austin,TX,South,2023-05-12,A,Y,N
CUST0000003,Sunrise Manufacturing 3,,Denver,CO,West,2022-07-28,A,N,Y
CUST0000004,North Manufacturing 4,,Denver,CO,West,2019-07-13,A,0,Y
CUST0000005,Green Retail 5,Municipal,Denver,CO,West,01/10/2021,C,No,Y
CUST0000006,Blue Retail 6,Commercial,Seattle,WA,West,2020/12/25,A,Yes,Y
CUST0000007,Ever Foods 7,Industrial,Austin,TX,South,11/09/2018,D,N,Y
CUST0000008,Prime Manufacturing 8,Commercial,Dallas,TX,South,2022-08-11,D,Y,N
CUST0000009,Green Labs 9,,Phoenix,AZ,West,06/23/2020,B,1,Y
CUST0000010,Green Manufacturing 10,Municipal,Dallas,TX,South,2021-06-22,A,0,Y
CUST0000011,Green Homes 11,Commercial,Dallas,TX,South,2022/07/28,D,0,Y
CUST0000012,Green Schools 12,,Albany,NY,Northeast,2021-04-02,B,N,Y
CUST0000013,North Services 13,Municipal,Chicago,IL,Midwest,2023-05-12,B,1,Y
CUST0000014,Prime Properties 14,Industrial,Denver,CO,West,10/18/2019,D,0,Y
CUST0000015,Ever Labs 15,Commercial,Austin,TX,South,2021-07-01,B,Y,True
CUST0000016,Green Schools 16,Commercial,Austin,TX,South,2020/01/15,D,N,Y
CUST0000017,Blue Services 17,Commercial,Atlanta,GA,South,2019/07/06,B,1,N
CUST0000018,Green Properties 18,Commercial,Springfield,IL,Midwest,02/01/2026,a,0,Y
CUST0000019,Prime Homes 19,,Denver,CO,West,10/05/2024,D,Yes,Y
CUST0000020,Green Retail 20,Commercial,Atlanta,GA,South,2018/03/10,C,1,Y
CUST0000021,Green Manufacturing 21,Municipal,Chicago,IL,Midwest,03/18/2019,a,Y,Y
CUST0000022,Sunrise Services 22,,Seattle,WA,West,2021/05/07,B,1,N
CUST0000023,Blue Foods 23,Municipal,Atlanta,GA,South,10/11/2022,D,Yes,N
CUST0000024,Ever Properties 24,Residential,Albany,NY,Northeast,2025-12-17,a,No,N
CUST0000025,Metro Properties 25,Municipal,Denver,CO,West,2023-12-16,B,N,Y
CUST0000026,Urban Services 26,Industrial,Atlanta,GA,South,2022/05/15,C,Y,True
CUST0000027,Green Retail 27,Municipal,Seattle,WA,West,2023-12-15,A,N,Y
CUST0000028,Prime Services 28,Municipal,Denver,CO,West,2023-03-31,D,N,Y
CUST0000029,Sunrise Labs 29,Commercial,Atlanta,GA,South,2020/12/25,B,Y,N
CUST0000030,Sunrise Homes 30,Municipal,Dallas,TX,South,03/27/2022,C,Y,Y
CUST0000031,Urban Services 31,Residential,Springfield,IL,Midwest,10/11/2023,a,0,Y
CUST0000032,Prime Properties 32,Residential,Phoenix,AZ,West,2023-02-27,D,Y,Y
CUST0000033,Blue Retail 33,Residential,Dallas,TX,South,2025/04/01,a,1,Y
CUST0000034,Metro Manufacturing 34,Residential,Austin,TX,South,03/31/2025,B,1,Y
CUST0000035,Ever Services 35,,Denver,CO,West,2018/06/14,C,1,True
CUST0000036,Urban Retail 36,Municipal,Denver,CO,West,05/05/2023,a,1,Y
CUST0000037,North Schools 37,Commercial,Chicago,IL,Midwest,2024-05-14,C,1,Y
CUST0000038,Blue Retail 38,Municipal,Phoenix,AZ,West,12/01/2022,B,0,Y
CUST0000039,Blue Retail 39,Residential,Albany,NY,Northeast,2018/03/21,B,Y,N
CUST0000040,Sunrise Services 40,Industrial,Seattle,WA,West,03/26/2023,a,No,True
CUST0000041,Ever Retail 41,,Boston,MA,Northeast,2024/03/05,A,Y,N
CUST0000042,Green Homes 42,Commercial,Springfield,IL,Midwest,04/22/2020,D,N,Y
CUST0000043,Sunrise Manufacturing 43,,Denver,CO,West,2020/06/22,a,1,Y
CUST0000044,Urban Schools 44,Residential,Springfield,IL,Midwest,07/31/2023,B,0,Y
CUST0000045,Green Homes 45,Commercial,Austin,TX,South,08/31/2020,a,Yes,Y
CUST0000046,Sunrise Retail 46,Commercial,Albany,NY,Northeast,2023-03-11,a,0,True
CUST0000047,Prime Labs 47,Residential,Seattle,WA,West,2024/09/23,D,No,Y
CUST0000048,North Schools 48,Commercial,Seattle,WA,West,2023/07/28,D,1,Y
CUST0000049,Green Services 49,,Boston,MA,Northeast,2021/01/24,a,0,Y
CUST0000050,North Homes 50,,Denver,CO,West,01/24/2020,C,0,Y
CUST0000051,North Retail 51,Residential,Dallas,TX,South,2023-07-02,B,0,N
CUST0000052,Sunrise Services 52,Residential,Springfield,IL,Midwest,2019/01/03,A,1,Y
CUST0000053,Urban Foods 53,Commercial,Boston,MA,Northeast,05/19/2024,C,No,Y
CUST0000054,Green Foods 54,Municipal,Dallas,TX,South,12/09/2018,D,Y,True
CUST0000055,Ever Schools 55,,Springfield,IL,Midwest,2022-06-04,C,No,Y
CUST0000056,Blue Retail 56,,Denver,CO,West,2022/12/31,A,No,N
CUST0000057,Prime Properties 57,Commercial,Denver,CO,West,06/08/2018,a,N,Y
CUST0000058,Ever Manufacturing 58,,Springfield,IL,Midwest,06/24/2022,B,0,Y
CUST0000059,Green Schools 59,,Boston,MA,Northeast,2020-09-26,B,Yes,True
CUST0000060,Blue Labs 60,,Denver,CO,West,2022-11-28,C,No,Y
CUST0000061,Ever Services 61,Industrial,Phoenix,AZ,West,06/26/2018,a,1,Y
CUST0000062,Sunrise Labs 62,Commercial,Albany,NY,Northeast,07/29/2018,a,Yes,N
CUST0000063,Ever Properties 63,Municipal,Albany,NY,Northeast,2020-07-23,C,0,N
CUST0000064,Green Services 64,,Seattle,WA,West,2018/03/22,B,Yes,Y
CUST0000065,Metro Properties 65,Industrial,Denver,CO,West,09/16/2018,D,Y,Y
CUST0000066,Sunrise Manufacturing 66,Commercial,Seattle,WA,West,2023-04-24,a,No,N
CUST0000067,Metro Properties 67,Commercial,Denver,CO,West,2019-04-03,B,0,Y
CUST0000068,Blue Foods 68,Municipal,albany,NY,Northeast,2023-07-05,D,Yes,True
CUST0000069,Urban Foods 69,,Phoenix,AZ,West,2019/10/22,A,Yes,N
CUST0000070,Prime Properties 70,Industrial,Boston,MA,Northeast,2024/12/21,B,Y,Y
CUST0000071,Blue Homes 71,Municipal,Phoenix,AZ,West,10/18/2025,a,N,Y
CUST0000072,Metro Labs 72,Commercial,Seattle,WA,West,12/29/2020,D,Y,Y
CUST0000073,Urban Schools 73,Residential,Chicago,IL,Midwest,2021/08/06,A,N,Y
CUST0000074,Sunrise Foods 74,Municipal,Boston,MA,Northeast,2018-05-17,C,Y,N
CUST0000075,Prime Labs 75,Industrial,Boston,MA,Northeast,2021/05/23,a,Yes,True
CUST0000076,Metro Services 76,,Albany,NY,Northeast,2025/10/29,D,Y,N
CUST0000077,Green Foods 77,Commercial,Springfield,IL,Midwest,2021-09-15,B,N,N
CUST0000078,Green Schools 78,,Seattle,WA,West,2019-05-31,A,1,Y
CUST0000079,Prime Schools 79,Residential,Dallas,TX,South,2021-03-11,C,1,Y
CUST0000080,Ever Labs 80,,Seattle,WA,West,2019-02-28,B,No,True
CUST0000081,Ever Properties 81,Municipal,Springfield,IL,Midwest,02/18/2025,B,0,Y
CUST0000082,Sunrise Manufacturing 82,Municipal,albany,NY,Northeast,03/22/2025,A,Y,True
CUST0000083,Urban Services 83,Industrial,Springfield,IL,Midwest,01/15/2020,A,N,Y
CUST0000084,Metro Schools 84,Residential,Phoenix,AZ,West,03/28/2018,B,Y,Y
CUST0000085,Blue Foods 85,Commercial,Boston,MA,Northeast,2018/05/06,a,No,Y
CUST0000086,Sunrise Services 86,Residential,Dallas,TX,South,10/08/2021,C,1,Y
CUST0000087,Green Labs 87,Commercial,Denver,CO,West,01/21/2024,a,Y,Y
CUST0000088,North Labs 88,Residential,Boston,MA,Northeast,2020/05/07,a,Yes,Y
CUST0000089,Blue Homes 89,,Denver,CO,West,2021-06-30,a,0,True
CUST0000090,Sunrise Retail 90,,Atlanta,GA,South,11/05/2018,C,0,Y
CUST0000091,Green Retail 91,Residential,Seattle,WA,West,01/22/2026,D,Yes,True
CUST0000092,Green Schools 92,Municipal,Seattle,WA,West,06/08/2019,B,No,Y
CUST0000093,Metro Properties 93,Industrial,Boston,MA,Northeast,2025-10-27,D,1,True
CUST0000094,Prime Labs 94,,Atlanta,GA,South,10/24/2021,A,No,Y
CUST0000095,Metro Homes 95,,Denver,CO,West,2022/02/22,B,No,Y
CUST0000096,Blue Foods 96,Municipal,Boston,MA,Northeast,11/09/2020,D,0,Y
CUST0000097,North Services 97,Residential,Seattle,WA,West,2024/08/14,A,No,True
CUST0000098,Ever Properties 98,,Austin,TX,South,2023-01-26,A,Y,N
CUST0000099,Blue Schools 99,Industrial,Phoenix,AZ,West,10/10/2020,a,Y,True
CUST0000100,Blue Schools 100,Residential,Chicago,IL,Midwest,03/12/2020,D,Yes,N
CUST0000101,Green Properties 101,Commercial,Seattle,WA,West,2024/09/23,A,Yes,True
CUST0000102,Prime Properties 102,Commercial,Atlanta,GA,South,2023/08/29,C,Y,N
CUST0000103,North Services 103,Industrial,Atlanta,GA,South,09/13/2024,B,No,True
CUST0000104,Urban Schools 104,,Atlanta,GA,South,04/03/2024,B,No,Y
CUST0000105,Ever Properties 105,Industrial,Dallas,TX,South,2022-06-18,D,Y,Y
CUST0000106,Prime Services 106,Commercial,Albany,NY,Northeast,2023-08-22,C,1,Y
CUST0000107,Prime Services 107,,Chicago,IL,Midwest,07/03/2022,C,Y,Y
