asset_id,site_id,asset_type,manufacturer,model_number,install_date,rated_capacity_kw,asset_status,criticality,_bronze_loaded_at_utc,_source_file
AST000001,SITE0001,Solar Inverter,NovaPower,MDL-144,2018-03-25,1559.30,Maintenance,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000002,SITE0001,Solar Inverter,HelioTech,MDL-779,2024-10-29,3074.65,Standby,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000003,SITE0001,Solar Inverter,VoltEdge,MDL-902,2017-10-03,1244.90,Maintenance,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000004,SITE0001,Solar Inverter,EcoDyn,MDL-214,2016-05-02,348.68,Retired,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000005,SITE0001,Solar Inverter,VoltEdge,MDL-766,03/23/2025,2819.31,Standby,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000006,SITE0001,Solar Inverter,VoltEdge,MDL-144,08/01/2022,151.09,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000007,SITE0001,Solar Inverter,NovaPower,MDL-644,2019-12-11,3414.81,Retired,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000008,SITE0001,Solar Inverter,AeroFlux,MDL-984,2015-11-10,2398.28,Standby,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000009,SITE0002,Battery Rack,AeroFlux,MDL-160,2018-05-13,424.36,Active,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000010,SITE0002,Battery Rack,AeroFlux,MDL-528,05/31/2022,130.80,active ,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000011,SITE0002,Battery Rack,HelioTech,MDL-901,01/05/2025,2741.48,Maintenance,Medium,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000012,SITE0002,Battery Rack,VoltEdge,MDL-306,2021-03-24,2723.71,Active,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000013,SITE0002,Battery Rack,HelioTech,MDL-276,09/01/2020,2042.71,Retired,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000014,SITE0002,Battery Rack,HelioTech,MDL-431,2023-01-10,3137.51,Maintenance,High,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000015,SITE0002,Battery Rack,AeroFlux,MDL-325,2024-09-23,3336.84,Retired,medium ,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000016,SITE0003,Solar Inverter,VoltEdge,MDL-668,02/20/2024,2595.44,Maintenance,Low,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
AST000017,SITE0003,Solar Inverter,NovaPower,MDL-127,2019-10-23,3056.64,Retired,Critical,2026-07-13T04:58:50.029701+00:00,data/raw/master/assets.csv
