product_id,upc,product_name,department,subcategory,brand,supplier_id,standard_cost,regular_price,tax_category,product_status,launch_date
SKU0000001,420876442491,Premium Car Care Item 1,Automotive,Car Care,Northpeak,SUP00030,252.44,332.22,Food Exempt,Active,2018-03-11
SKU0000002,793495953767,Smart Bedding Item 2,Home,Bedding,Greathome,SUP00036,428.69,1062.46,Taxable,Seasonal,
SKU0000003,361933686194,Family Decor Item 3,Home,Decor,Urbanbasics,SUP00038,167.55,269.12,Pharmacy Exempt,Active,
SKU0000004,750164815182,Everyday Decor Item 4,Home,Decor,Greathome,SUP00003,262.75,411.62,Food Exempt,Active,2024-03-02
SKU0000005,487344913586,Everyday Storage Item 5,Home,Storage,Urbanbasics,SUP00050,58.85,129.56,Food Exempt,Active,2022-05-06
SKU0000006,344037135175,Everyday School Supplies Item 6,Office,School Supplies,Greathome,SUP00008,424.82,732.82,Pharmacy Exempt,Discontinued,2021-03-09
SKU0000007,667128882108,Smart Shoes Item 7,Apparel,Shoes,Greathome,SUP00048,174.8,378.86,Taxable,Active,2021-12-19
SKU0000008,196817432775,Smart Computers Item 8,Electronics,Computers,Healthyyou,SUP00017,145.54,247.63,Taxable,Active,
SKU0000009,949889426865,Everyday Produce Item 9,Grocery,Produce,Healthyyou,SUP00045,19.64,41.87,Pharmacy Exempt,Active,
SKU0000010,517539968756,Family Men Item 10,Apparel,Men,Northpeak,SUP00001,193.5,502.78,Pharmacy Exempt,Seasonal,
SKU0000011,177427934372,Premium Stationery Item 11,Office,Stationery,Healthyyou,SUP00003,72.59,112.26,Food Exempt,Active,
SKU0000012,831490914214,Classic Pharmacy Item 12,Health & Beauty,Pharmacy,Urbanbasics,SUP00057,393.69,895.36,Food Exempt,Active,2020-01-16
SKU0000013,137882667007,Smart Pharmacy Item 13,Health & Beauty,Pharmacy,Northpeak,SUP00025,191.56,343.89,Pharmacy Exempt,Active,
SKU0000014,634765334223,Family Shoes Item 14,Apparel,Shoes,Northpeak,SUP00017,140.55,357.47,Taxable,Active,2020-03-08
SKU0000015,894319981521,Everyday Gaming Item 15,Electronics,Gaming,Techline,SUP00066,10.84,12.63,Food Exempt,Discontinued,
