product_id,product_name,category,subcategory,brand,supplier_id,standard_cost,list_price,unit_weight_lbs,hazmat_flag,temperature_controlled_flag,launch_date,product_status,_bronze_loaded_at_utc,_source_file
SKU0000001,Pro Furniture Item 1,Home,Kitchen,Solace,SUP00004,117.06,240.88,66.426,No,No,03/14/2026,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000002,Eco Lighting Item 2,Home,Kitchen,EverPeak,SUP00076,191.37,462.07,70.983,No,N,2024-08-15,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000003,Eco Lighting Item 3,Home,Kitchen,Northline,SUP00014,65.98,147.63,72.361,N,Y,10/23/2023,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000004,Compact Lighting Item 4,Home,Storage,Solace,SUP00003,11.66,18.15,40.268,N,No,02/27/2022,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000005,Pro Medical Supplies Item 5,Health,Wellness,EverPeak,SUP00109,199.28,262.04,12.127,N,N,04/24/2025,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000006,Ultra Kitchen Item 6,Home,Kitchen,Cobalt,SUP00066,136.41,251.20,60.024,No,N,2020-12-04,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000007,Essential Printing Item 7,Office,Desk Setup,Aster,SUP00005,151.15,393.57,10.567,0,N,2022-12-24,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000008,Eco Outerwear Item 8,Apparel,Basics,Solace,SUP00069,295.17,557.47,36.513,No,0,2021-07-29,Active,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000009,Premium Outerwear Item 9,Apparel,Outerwear,Cobalt,SUP00003,27.56,58.17,66.159,No,No,12/12/2021,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000010,Classic Accessories Item 10,Electronics,Computing,EverPeak,SUP00044,204.35,561.85,12.774,Y,No,03/12/2023,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000011,Ultra Medical Supplies Item 11,Health,Medical Supplies,EverPeak,SUP00088,230.18,370.08,22.434,N,No,11/28/2023,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000012,Compact Wellness Item 12,Health,Wellness,Aster,SUP00069,220.94,380.83,60.299,N,Y,2021-11-26,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000013,Ultra Pantry Item 13,Grocery,Pantry,Solace,SUP00016,203.47,442.83,29.192,0,Y,2026-02-12,Discontinued,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000014,Essential Fitness Item 14,Apparel,Fitness,Cobalt,SUP00038,187.40,239.95,19.530,Y,Y,2024-02-21,active ,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
SKU0000015,Pro Footwear Item 15,Apparel,Outerwear,Nimbus,SUP00095,248.50,315.73,6.592,Y,Y,06/25/2021,Seasonal,2026-06-20T05:01:23.815446+00:00,data/raw/master/products.csv
