customer_id,customer_name,segment,city,state,region,signup_date,credit_class,autopay_flag,active_flag
CUST0000001,Urban Homes 1,Municipal,Phoenix,AZ,West,2025-09-06,B,True,False
CUST0000002,Green Manufacturing 2,Industrial,Austin,TX,South,2023-05-12,A,True,False
CUST0000003,Sunrise Manufacturing 3,Unknown,Denver,CO,West,2022-07-28,A,False,True
CUST0000004,North Manufacturing 4,Unknown,Denver,CO,West,2019-07-13,A,False,True
CUST0000005,Green Retail 5,Municipal,Denver,CO,West,,C,False,True
CUST0000006,Blue Retail 6,Commercial,Seattle,WA,West,,A,True,True
CUST0000007,Ever Foods 7,Industrial,Austin,TX,South,,D,False,True
CUST0000008,Prime Manufacturing 8,Commercial,Dallas,TX,South,2022-08-11,D,True,False
CUST0000009,Green Labs 9,Unknown,Phoenix,AZ,West,,B,True,True
CUST0000010,Green Manufacturing 10,Municipal,Dallas,TX,South,2021-06-22,A,False,True
CUST0000011,Green Homes 11,Commercial,Dallas,TX,South,,D,False,True
CUST0000012,Green Schools 12,Unknown,Albany,NY,Northeast,2021-04-02,B,False,True
CUST0000013,North Services 13,Municipal,Chicago,IL,Midwest,2023-05-12,B,True,True
CUST0000014,Prime Properties 14,Industrial,Denver,CO,West,,D,False,True
CUST0000015,Ever Labs 15,Commercial,Austin,TX,South,2021-07-01,B,True,True
CUST0000016,Green Schools 16,Commercial,Austin,TX,South,,D,False,True
CUST0000017,Blue Services 17,Commercial,Atlanta,GA,South,,B,True,False
CUST0000018,Green Properties 18,Commercial,Springfield,IL,Midwest,,A,False,True
CUST0000019,Prime Homes 19,Unknown,Denver,CO,West,,D,True,True
CUST0000020,Green Retail 20,Commercial,Atlanta,GA,South,,C,True,True
CUST0000021,Green Manufacturing 21,Municipal,Chicago,IL,Midwest,,A,True,True
CUST0000022,Sunrise Services 22,Unknown,Seattle,WA,West,,B,True,False
CUST0000023,Blue Foods 23,Municipal,Atlanta,GA,South,,D,True,False
CUST0000024,Ever Properties 24,Residential,Albany,NY,Northeast,2025-12-17,A,False,False
CUST0000025,Metro Properties 25,Municipal,Denver,CO,West,2023-12-16,B,False,True
CUST0000026,Urban Services 26,Industrial,Atlanta,GA,South,,C,True,True
CUST0000027,Green Retail 27,Municipal,Seattle,WA,West,2023-12-15,A,False,True
CUST0000028,Prime Services 28,Municipal,Denver,CO,West,2023-03-31,D,False,True
CUST0000029,Sunrise Labs 29,Commercial,Atlanta,GA,South,,B,True,False
CUST0000030,Sunrise Homes 30,Municipal,Dallas,TX,South,,C,True,True
CUST0000031,Urban Services 31,Residential,Springfield,IL,Midwest,,A,False,True
CUST0000032,Prime Properties 32,Residential,Phoenix,AZ,West,2023-02-27,D,True,True
CUST0000033,Blue Retail 33,Residential,Dallas,TX,South,,A,True,True
CUST0000034,Metro Manufacturing 34,Residential,Austin,TX,South,,B,True,True
CUST0000035,Ever Services 35,Unknown,Denver,CO,West,,C,True,True
CUST0000036,Urban Retail 36,Municipal,Denver,CO,West,,A,True,True
CUST0000037,North Schools 37,Commercial,Chicago,IL,Midwest,2024-05-14,C,True,True
CUST0000038,Blue Retail 38,Municipal,Phoenix,AZ,West,,B,False,True
CUST0000039,Blue Retail 39,Residential,Albany,NY,Northeast,,B,True,False
CUST0000040,Sunrise Services 40,Industrial,Seattle,WA,West,,A,False,True
CUST0000041,Ever Retail 41,Unknown,Boston,MA,Northeast,,A,True,False
CUST0000042,Green Homes 42,Commercial,Springfield,IL,Midwest,,D,False,True
CUST0000043,Sunrise Manufacturing 43,Unknown,Denver,CO,West,,A,True,True
CUST0000044,Urban Schools 44,Residential,Springfield,IL,Midwest,,B,False,True
CUST0000045,Green Homes 45,Commercial,Austin,TX,South,,A,True,True
CUST0000046,Sunrise Retail 46,Commercial,Albany,NY,Northeast,2023-03-11,A,False,True
CUST0000047,Prime Labs 47,Residential,Seattle,WA,West,,D,False,True
CUST0000048,North Schools 48,Commercial,Seattle,WA,West,,D,True,True
CUST0000049,Green Services 49,Unknown,Boston,MA,Northeast,,A,False,True
CUST0000050,North Homes 50,Unknown,Denver,CO,West,,C,False,True
CUST0000051,North Retail 51,Residential,Dallas,TX,South,2023-07-02,B,False,False
CUST0000052,Sunrise Services 52,Residential,Springfield,IL,Midwest,,A,True,True
CUST0000053,Urban Foods 53,Commercial,Boston,MA,Northeast,,C,False,True
CUST0000054,Green Foods 54,Municipal,Dallas,TX,South,,D,True,True
CUST0000055,Ever Schools 55,Unknown,Springfield,IL,Midwest,2022-06-04,C,False,True
CUST0000056,Blue Retail 56,Unknown,Denver,CO,West,,A,False,False
CUST0000057,Prime Properties 57,Commercial,Denver,CO,West,,A,False,True
CUST0000058,Ever Manufacturing 58,Unknown,Springfield,IL,Midwest,,B,False,True
CUST0000059,Green Schools 59,Unknown,Boston,MA,Northeast,2020-09-26,B,True,True
CUST0000060,Blue Labs 60,Unknown,Denver,CO,West,2022-11-28,C,False,True
CUST0000061,Ever Services 61,Industrial,Phoenix,AZ,West,,A,True,True
CUST0000062,Sunrise Labs 62,Commercial,Albany,NY,Northeast,,A,True,False
CUST0000063,Ever Properties 63,Municipal,Albany,NY,Northeast,2020-07-23,C,False,False
CUST0000064,Green Services 64,Unknown,Seattle,WA,West,,B,True,True
CUST0000065,Metro Properties 65,Industrial,Denver,CO,West,,D,True,True
CUST0000066,Sunrise Manufacturing 66,Commercial,Seattle,WA,West,2023-04-24,A,False,False
CUST0000067,Metro Properties 67,Commercial,Denver,CO,West,2019-04-03,B,False,True
CUST0000068,Blue Foods 68,Municipal,Albany,NY,Northeast,2023-07-05,D,True,True
CUST0000069,Urban Foods 69,Unknown,Phoenix,AZ,West,,A,True,False
CUST0000070,Prime Properties 70,Industrial,Boston,MA,Northeast,,B,True,True
CUST0000071,Blue Homes 71,Municipal,Phoenix,AZ,West,,A,False,True
CUST0000072,Metro Labs 72,Commercial,Seattle,WA,West,,D,True,True
CUST0000073,Urban Schools 73,Residential,Chicago,IL,Midwest,,A,False,True
CUST0000074,Sunrise Foods 74,Municipal,Boston,MA,Northeast,2018-05-17,C,True,False
CUST0000075,Prime Labs 75,Industrial,Boston,MA,Northeast,,A,True,True
CUST0000076,Metro Services 76,Unknown,Albany,NY,Northeast,,D,True,False
CUST0000077,Green Foods 77,Commercial,Springfield,IL,Midwest,2021-09-15,B,False,False
