customer_id,customer_name,segment,city,state,region,signup_date,credit_class,autopay_flag,active_flag,consumption_kwh,peak_demand_kw,reading_count,billed_amount,paid_amount,open_amount,past_due_bill_count,collection_rate,risk_score
CUST0000001,Urban Homes 1,Municipal,Phoenix,AZ,West,2025-09-06,B,True,False,0.0,0.0,0.0,23791.13,22083.22,1707.91,1,0.9282123211465786,10
CUST0000002,Green Manufacturing 2,Industrial,Austin,TX,South,2023-05-12,A,True,False,0.0,0.0,0.0,33248.83,7085.84,26162.99,1,0.2131154690255266,10
CUST0000003,Sunrise Manufacturing 3,Unknown,Denver,CO,West,2022-07-28,A,False,True,0.0,0.0,0.0,23287.23,0.0,23287.23,1,0.0,15
CUST0000004,North Manufacturing 4,Unknown,Denver,CO,West,2019-07-13,A,False,True,0.0,0.0,0.0,8432.13,3045.89,5386.24,1,0.3612242695499239,15
CUST0000005,Green Retail 5,Municipal,Denver,CO,West,,C,False,True,0.0,0.0,0.0,41313.94,8694.0,32619.94,1,0.21043744556921948,30
CUST0000006,Blue Retail 6,Commercial,Seattle,WA,West,,A,True,True,95663.5376,170.7501,1461.0,7750.0599999999995,0.0,7750.0599999999995,1,0.0,10
CUST0000007,Ever Foods 7,Industrial,Austin,TX,South,,D,False,True,0.0,0.0,0.0,41240.63,41240.63,0.0,0,1.0,20
CUST0000008,Prime Manufacturing 8,Commercial,Dallas,TX,South,2022-08-11,D,True,False,0.0,0.0,0.0,11831.86,8328.37,3503.49,1,0.7038935551975768,25
CUST0000009,Green Labs 9,Unknown,Phoenix,AZ,West,,B,True,True,0.0,0.0,0.0,18505.91,16590.45,1915.46,0,0.8964946873728448,0
CUST0000010,Green Manufacturing 10,Municipal,Dallas,TX,South,2021-06-22,A,False,True,0.0,0.0,0.0,10582.29,0.0,10582.29,1,0.0,15
CUST0000011,Green Homes 11,Commercial,Dallas,TX,South,,D,False,True,0.0,0.0,0.0,30054.059999999998,24327.239999999998,5726.82,0,0.8094493722312393,20
CUST0000012,Green Schools 12,Unknown,Albany,NY,Northeast,2021-04-02,B,False,True,0.0,0.0,0.0,30415.989999999998,19270.77,11145.22,0,0.6335736564879197,5
CUST0000013,North Services 13,Municipal,Chicago,IL,Midwest,2023-05-12,B,True,True,0.0,0.0,0.0,26793.05,3546.57,23246.48,1,0.13236902853538512,10
CUST0000014,Prime Properties 14,Industrial,Denver,CO,West,,D,False,True,0.0,0.0,0.0,13527.47,0.0,13527.47,1,0.0,30
CUST0000015,Ever Labs 15,Commercial,Austin,TX,South,2021-07-01,B,True,True,0.0,0.0,0.0,36652.01,0.0,36652.01,1,0.0,10
CUST0000016,Green Schools 16,Commercial,Austin,TX,South,,D,False,True,0.0,0.0,0.0,19941.26,0.0,19941.26,1,0.0,30
CUST0000017,Blue Services 17,Commercial,Atlanta,GA,South,,B,True,False,0.0,0.0,0.0,29739.17,0.0,29739.17,1,0.0,10
CUST0000018,Green Properties 18,Commercial,Springfield,IL,Midwest,,A,False,True,436334.247,79.4155,1459.0,18175.25,17111.82,1063.43,1,0.941490213339569,15
CUST0000019,Prime Homes 19,Unknown,Denver,CO,West,,D,True,True,354651.9488,629.8808,1464.0,24615.84,0.0,24615.84,1,0.0,25
CUST0000020,Green Retail 20,Commercial,Atlanta,GA,South,,C,True,True,4963.4179,8.5418,1458.0,14933.87,0.0,14933.87,1,0.0,25
CUST0000021,Green Manufacturing 21,Municipal,Chicago,IL,Midwest,,A,True,True,0.0,0.0,0.0,19614.489999999998,18814.37,800.12,1,0.9592077081790045,10
CUST0000022,Sunrise Services 22,Unknown,Seattle,WA,West,,B,True,False,0.0,0.0,0.0,27809.62,24732.769999999997,3076.85,1,0.8893602285827709,10
CUST0000023,Blue Foods 23,Municipal,Atlanta,GA,South,,D,True,False,0.0,0.0,0.0,15632.63,0.0,15632.63,1,0.0,25
CUST0000024,Ever Properties 24,Residential,Albany,NY,Northeast,2025-12-17,A,False,False,0.0,0.0,0.0,27597.71,0.0,27597.71,1,0.0,15
CUST0000025,Metro Properties 25,Municipal,Denver,CO,West,2023-12-16,B,False,True,0.0,0.0,0.0,9605.62,8931.34,674.28,0,0.9298035941459271,5
CUST0000026,Urban Services 26,Industrial,Atlanta,GA,South,,C,True,True,0.0,0.0,0.0,19902.46,0.0,19902.46,1,0.0,25
CUST0000027,Green Retail 27,Municipal,Seattle,WA,West,2023-12-15,A,False,True,0.0,0.0,0.0,20871.94,0.0,20871.94,1,0.0,15
CUST0000028,Prime Services 28,Municipal,Denver,CO,West,2023-03-31,D,False,True,0.0,0.0,0.0,18913.56,0.0,18913.56,1,0.0,30
CUST0000029,Sunrise Labs 29,Commercial,Atlanta,GA,South,,B,True,False,0.0,0.0,0.0,42448.82,10430.49,32018.33,1,0.24571919784813806,10
CUST0000030,Sunrise Homes 30,Municipal,Dallas,TX,South,,C,True,True,0.0,0.0,0.0,35708.07,19196.35,16511.72,0,0.5375913624007121,15
CUST0000031,Urban Services 31,Residential,Springfield,IL,Midwest,,A,False,True,0.0,0.0,0.0,11389.0,0.0,11389.0,1,0.0,15
CUST0000032,Prime Properties 32,Residential,Phoenix,AZ,West,2023-02-27,D,True,True,0.0,0.0,0.0,27383.77,3861.2,23522.57,0,0.14100322928508383,15
CUST0000033,Blue Retail 33,Residential,Dallas,TX,South,,A,True,True,0.0,0.0,0.0,23148.75,10538.82,12609.93,0,0.45526518710513525,0
CUST0000034,Metro Manufacturing 34,Residential,Austin,TX,South,,B,True,True,0.0,0.0,0.0,33784.85,31483.730000000003,2301.119999999999,1,0.9318889975832364,10
CUST0000035,Ever Services 35,Unknown,Denver,CO,West,,C,True,True,0.0,0.0,0.0,25534.83,25534.83,0.0,0,1.0,15
CUST0000036,Urban Retail 36,Municipal,Denver,CO,West,,A,True,True,0.0,0.0,0.0,37269.31,16503.67,20765.64,0,0.4428219894599605,0
CUST0000037,North Schools 37,Commercial,Chicago,IL,Midwest,2024-05-14,C,True,True,0.0,0.0,0.0,30257.84,0.0,30257.84,1,0.0,25
CUST0000038,Blue Retail 38,Municipal,Phoenix,AZ,West,,B,False,True,0.0,0.0,0.0,28179.36,0.0,28179.36,1,0.0,15
CUST0000039,Blue Retail 39,Residential,Albany,NY,Northeast,,B,True,False,213511.9,392.8596,1462.0,28707.8,21530.86,7176.9400000000005,1,0.7500003483373857,10
CUST0000040,Sunrise Services 40,Industrial,Seattle,WA,West,,A,False,True,5010.2676,9.4025,1452.0,10502.99,5251.490000000001,5251.499999999999,1,0.4999995239450862,15
