plan_id,plan_name,plan_type,monthly_fee,included_voice_minutes,included_sms,included_data_gb,overage_per_gb,active_flag,effective_start_date,source,effective_end_date,is_current,plan_sk
PLN001,Plus 1,Postpaid,22.51,500,500,999,15.0,True,2026-03-15,plan_cdc,9999-12-31,True,b467df5c151213f9a01a
PLN002,Premium 2,Postpaid,117.78,2000,500,20,5.0,True,2026-05-14,plan_cdc,9999-12-31,True,295414dab8cf7b156290
PLN003,Unlimited 3,Postpaid,136.05,1000,500,999,10.0,True,2026-02-07,plan_cdc,9999-12-31,True,6f9ed335b26273ebb254
PLN004,Premium 4,Postpaid,25.0,1000,1000,5,5.0,True,2020-01-01,plan_master,9999-12-31,True,8df701865abc25d10c03
PLN005,Business 5,Business,36.41,99999,99999,999,10.0,False,2026-04-14,plan_cdc,9999-12-31,True,5866d5c6d8fafb8ad3cf
PLN006,Plus 6,Postpaid,28.53,2000,1000,20,10.0,True,2026-02-12,plan_cdc,9999-12-31,True,b3d2ffb23af87cdd6443
PLN007,Starter 7,Business,78.09,2000,99999,50,5.0,True,2026-04-23,plan_cdc,9999-12-31,True,7780ae3aaebeb71651dc
PLN008,Plus 8,Postpaid,25.0,1000,500,5,5.0,True,2020-01-01,plan_master,9999-12-31,True,dd53869d31ad26db703f
PLN009,Plus 9,Postpaid,34.29,1000,1000,100,10.0,True,2026-02-13,plan_cdc,9999-12-31,True,d5a3c5d3decdcaab76b1
PLN010,Unlimited 10,Prepaid,37.99,1000,500,999,5.0,True,2026-05-27,plan_cdc,9999-12-31,True,3f2ee5437c950d5ece9c
PLN011,Unlimited 11,Prepaid,85.28,99999,99999,100,10.0,False,2026-03-21,plan_cdc,9999-12-31,True,988c10e1fbf6f23710fc
PLN012,Unlimited 12,Prepaid,64.24,1000,500,50,10.0,True,2026-03-22,plan_cdc,9999-12-31,True,90659af167d976e23812
PLN013,Premium 13,Prepaid,45.0,500,500,5,10.0,True,2020-01-01,plan_master,9999-12-31,True,5330efa5cfa81d0da14b
PLN014,Starter 14,Postpaid,32.37,99999,99999,10,15.0,True,2026-05-19,plan_cdc,9999-12-31,True,15a225db4288f6bd88ba
PLN015,Plus 15,Business,28.71,99999,99999,10,10.0,True,2026-03-22,plan_cdc,9999-12-31,True,0b75dc33d18dfcdbe00d
PLN016,Unlimited 16,Prepaid,91.46,2000,500,10,10.0,True,2026-02-22,plan_cdc,9999-12-31,True,69f966a343c9d85bf780
PLN017,Business 17,Prepaid,85.0,99999,99999,10,10.0,True,2020-01-01,plan_master,9999-12-31,True,99b839980968926bee89
PLN018,Plus 18,Prepaid,36.57,2000,1000,50,10.0,True,2026-02-08,plan_cdc,9999-12-31,True,0cf14bf671fc0718874b
PLN019,Plus 19,Postpaid,35.0,500,99999,20,15.0,True,2020-01-01,plan_master,9999-12-31,True,b35083406d653cecca86
PLN020,Premium 20,Postpaid,42.05,500,500,20,5.0,False,2026-04-01,plan_cdc,9999-12-31,True,92d663c7442d728e2426
