account_id,customer_id,branch_id,account_type,currency,open_date,close_date,account_status,opening_balance,overdraft_limit
A000001,C00090,B001,Checking,CAD,05/02/2024,,open ,8427.8,500
A000002,C00148,B003,Savings,EUR,09/04/2025,,Open,19575.84,0
A000003,C00116,B005,Savings,EUR,11/01/2023,,OPEN,24554.11,500
A000004,C00007,B010,Savings,USD,04/21/2022,,OPEN,20310.21,250
A000005,C00022,B006,Checking,USD,01/21/2024,,Open,6540.91,0
A000006,C00015,B009,Checking,EUR,2022-10-28,2023-01-25,OPEN,15272.49,1000
A000007,C00096,B001,Savings,USD,2023-11-04,2024-05-26,OPEN,23539.9,250
A000008,C00016,B008,Checking,EUR,06/11/2025,,OPEN,23667.57,1000
A000009,C00045,B004,Checking,USD,07/02/2022,,Dormant,19472.75,500
A000010,C00051,B002,Checking,USD,2023-03-27,,Open,9587.91,1000
A000011,C00030,B010,Checking,EUR,2021-01-21,,Closed,531.11,0
A000012,C00023,B007,Checking,EUR,01/16/2023,,OPEN,13809.83,0
A000013,C00070,B003,Savings,EUR,12/13/2024,,Dormant,6105.41,250
A000014,C00122,B010,Checking,GBP,2025-06-08,2025-07-02,OPEN,18674.34,250
A000015,C00073,B004,Checking,CAD,09/08/2021,,Open,13734.82,250
A000016,C00086,B007,Savings,INR,03/24/2025,,Dormant,9035.06,0
A000017,C00027,B003,Credit,GBP,05/14/2025,2025-10-25,Frozen,2645.32,1000
A000018,C00029,B002,Checking,CAD,01/14/2022,,Closed,23447.39,500
A000019,C00018,B005,Savings,INR,2023-09-28,,Dormant,24411.89,250
A000020,C00079,B010,loan,USD,2021-05-12,,Frozen,14698.44,2000
A000021,C00033,B005,Checking,INR,2025-11-13,,Open,22034.92,500
A000022,C00009,B006,Checking,USD,2021-08-01,,Frozen,3869.95,250
A000023,C00080,B003,Checking,CAD,08/01/2023,2024-03-24,OPEN,9451.07,0
A000024,C00016,B006,Checking,USD,07/16/2021,,open ,17931.03,0
A000025,C00089,B002,savings,CAD,2023-10-16,,Open,4216.43,500
A000026,C00082,B001,Credit,EUR,2025-07-17,,OPEN,14364.75,0
A000027,C00002,B005,Savings,INR,2025-01-14,,Dormant,5159.97,0
A000028,C00098,B005,Credit,CAD,04/24/2025,,Frozen,17539.64,2000
A000029,C00150,B005,Checking,EUR,2021-07-22,,Frozen,24214.97,250
A000030,C00082,B001,Credit,USD,2022-10-25,2024-01-07,Closed,14377.64,500
A000031,C00039,B008,Savings,INR,07/05/2023,,Open,7445.94,250
A000032,C00132,B002,Checking,GBP,2024-03-29,,Open,21993.85,2000
A000033,C00007,B010,Savings,EUR,11/28/2022,,Closed,7268.19,250
A000034,C00106,B008,Savings,EUR,2022-11-21,,Frozen,16179.22,0
A000035,C00105,B003,Savings,USD,08/02/2025,2025-12-02,open ,14357.74,2000
A000036,C00101,B004,Checking,CAD,11/29/2023,,open ,7135.79,250
A000037,C00128,B004,Checking,GBP,09/11/2025,,open ,23459.35,250
A000038,C00126,B002,Credit,CAD,02/04/2025,,Open,22099.02,250
A000039,C00066,B006,Savings,EUR,2024-01-25,,Closed,15120.5,2000
A000040,C00132,B007,Loan,EUR,2022-02-06,2024-01-04,Open,11093.48,0
A000041,C00036,B002,Savings,EUR,2025-10-21,,Closed,2441.9,500
A000042,C00056,B010,Savings,INR,12/02/2024,,Frozen,6402.23,1000
A000043,C00039,B009,Loan,INR,03/07/2021,,OPEN,15858.95,2000
A000044,C00100,B010,Checking,CAD,10/10/2024,,open ,280.12,1000
A000045,C00020,B004,Checking,INR,05/09/2022,,open ,17681.74,2000
A000046,C00013,B006,Checking,GBP,09/29/2022,,open ,16926.89,2000
A000047,C00022,B008,Checking,USD,2023-05-27,2024-03-25,Closed,1076.03,500
A000048,C00032,B010,Checking,GBP,2026-01-20,2026-01-21,Closed,12220.31,500
A000049,C00076,B008,Checking,USD,09/30/2024,,Frozen,12740.31,250
A000050,C00028,B002,Savings,EUR,2022-07-22,,Closed,15710.83,0
A000051,C00025,B005,Savings,INR,2025-03-27,,Closed,982.56,1000
A000052,C00137,B002,Savings,USD,05/03/2024,,Dormant,16006.99,2000
A000053,C00067,B007,Savings,INR,03/20/2025,,Closed,15989.33,2000
A000054,C00096,B001,Savings,GBP,2024-04-11,,Dormant,1016.28,500
A000055,C00072,B006,Checking,GBP,05/16/2024,,Closed,19929.53,2000
A000056,C00028,B009,Checking,EUR,08/04/2023,,Closed,16265.0,2000
A000057,C00099,B002,Checking,GBP,05/04/2021,,open ,19050.05,0
A000058,C00094,B010,Savings,EUR,08/11/2023,2025-05-05,Dormant,20056.94,2000
A000059,C00010,B002,Checking,CAD,2025-12-07,,Closed,21196.67,250
A000060,C00133,B009,Savings,USD,2023-03-16,,Frozen,18094.08,0
A000061,C00094,B002,Savings,INR,10/08/2022,,Frozen,19066.87,2000
A000062,C00037,B008,Checking,INR,2021-09-11,,Closed,23981.56,1000
A000063,C00027,B005,Savings,INR,09/20/2024,2025-04-23,Closed,21952.39,0
A000064,C00073,B004,Checking,EUR,10/23/2022,,Open,19829.19,1000
A000065,C00124,B002,Savings,GBP,05/22/2023,,Closed,17528.56,2000
A000066,C00041,B008,Checking,CAD,2023-09-30,,Closed,22634.06,500
A000067,C00083,B009,Checking,EUR,2024-11-17,,open ,4040.0,250
A000068,C00070,B999,Checking,GBP,05/11/2023,,OPEN,24101.97,0
A000069,C00030,B003,Loan,EUR,2024-12-10,,Closed,19589.22,500
A000070,C00050,B003,Credit,EUR,2022-01-20,,Closed,12537.87,0
A000071,C00022,B009,Checking,INR,2023-10-26,,open ,6365.17,1000
A000072,C00083,B010,checking,INR,04/04/2024,,Closed,1115.6,2000
A000073,C00079,B010,Checking,USD,05/17/2022,,Frozen,20281.61,500
A000074,C_BAD,B004,Savings,CAD,2022-01-02,,Dormant,10317.38,0
A000075,C00123,B002,Credit,GBP,06/25/2022,2024-10-18,Closed,10423.4,0
A000076,C00127,B002,Checking,GBP,2022-05-08,,Closed,19093.16,0
A000077,C00044,B005,Checking,INR,03/25/2022,,open ,15016.13,1000
A000078,C00026,B004,savings,INR,06/10/2023,,Closed,14837.96,2000
A000079,C00076,B008,checking,USD,2023-02-18,,Frozen,23492.91,0
A000080,C00053,B004,Savings,GBP,2025-09-03,2026-04-28,Frozen,5948.3,250
A000081,C00099,B007,Savings,CAD,05/27/2022,,Dormant,21037.8,1000
A000082,C00103,B003,Savings,CAD,01/13/2025,,Frozen,12411.04,2000
A000083,C00090,B008,Loan,EUR,09/06/2023,,Closed,3039.89,250
A000084,C00053,B002,Savings,CAD,2022-03-27,,Closed,6366.18,250
A000085,C00052,B001,Loan,GBP,03/30/2024,,Frozen,20734.95,1000
A000086,C00041,B004,Checking,EUR,08/26/2023,2024-03-18,Open,7732.48,0
A000087,C00136,B004,Checking,CAD,2024-05-19,,Dormant,7457.35,2000
A000088,C00137,B006,Loan,CAD,12/16/2021,,OPEN,16865.8,500
A000089,C00101,B003,Loan,INR,11/08/2021,,Dormant,13176.99,500
A000090,C00023,B006,Checking,GBP,2024-01-04,,Closed,2869.57,1000
A000091,C00096,B004,Checking,EUR,2023-10-30,,Closed,11819.51,1000
A000092,C00138,B009,Checking,INR,2022-07-28,,Open,24387.97,1000
A000093,C00058,B003,Savings,GBP,2024-10-03,,Closed,5624.25,500
A000094,C00067,B008,Checking,EUR,08/12/2024,,Dormant,10623.25,250
A000095,C00058,B006,Credit,GBP,2022-11-26,,Dormant,12805.37,500
A000096,C00098,B005,Checking,INR,12/04/2021,,OPEN,10825.85,250
A000097,C00004,B001,Credit,EUR,10/20/2021,,Open,11998.38,500
A000098,C00014,B004,Savings,INR,12/07/2021,,Frozen,17296.44,1000
A000099,C00017,B002,Loan,USD,05/27/2025,,Closed,20340.09,1000
A000100,C00133,B001,Savings,CAD,2026-01-30,,Frozen,3241.6,0
A000101,C00108,B999,Savings,INR,05/14/2023,,Dormant,9116.59,2000
A000102,C00021,B002,Checking,EUR,06/08/2021,,OPEN,15604.39,0
A000103,C00049,B008,Checking,EUR,2024-11-04,,Closed,21066.21,2000
A000104,C00149,B003,Savings,USD,2021-11-01,,Closed,20549.61,500
A000105,C00014,B003,Savings,GBP,12/01/2023,,OPEN,17128.87,500
A000106,C00092,B005,checking,USD,2023-02-07,,Dormant,19317.14,500
A000107,C00074,B002,Credit,INR,12/12/2024,,Open,592.2,500
A000108,C00004,B008,Checking,INR,2024-07-04,,Closed,7586.52,500
A000109,C00092,B005,Checking,INR,2025-12-31,,Open,13380.34,2000
A000110,C00112,B003,Checking,CAD,2024-07-11,,Dormant,13263.96,1000
A000111,C00015,B003,Credit,USD,06/11/2025,,Frozen,22999.01,2000
A000112,C00098,B008,Checking,GBP,2026-02-17,,Dormant,11861.86,500
A000113,C00121,B010,Loan,EUR,2023-08-25,,open ,22091.54,0
A000114,C00139,B003,Savings,INR,12/16/2022,,open ,21079.72,500
A000115,C00090,B006,Credit,INR,2022-09-26,,OPEN,24672.81,1000
A000116,C00114,B006,Savings,GBP,02/22/2023,,OPEN,8849.5,1000
A000117,C00035,B001,Checking,EUR,07/01/2023,,OPEN,14727.5,250
A000118,C00082,B006,Checking,CAD,09/14/2023,,Open,13222.08,250
A000119,C00149,B002,Savings,USD,2024-05-31,,Dormant,15711.56,250
A000120,C00025,B002,Credit,CAD,03/16/2022,,open ,1188.52,1000
A000121,C00110,B006,Checking,EUR,02/11/2025,,Open,22104.28,250
A000122,C00035,B008,Checking,USD,09/02/2023,,Frozen,24178.9,250
A000123,C00132,B003,Checking,CAD,2024-02-24,,OPEN,9895.17,0
A000124,C00020,B008,Checking,CAD,01/26/2021,,Frozen,9548.09,1000
A000125,C00132,B002,Checking,USD,2023-07-27,,Dormant,10760.69,250
A000126,C00093,B002,Checking,GBP,2024-05-07,,Closed,3068.77,250
A000127,C00075,B005,Checking,CAD,2023-04-26,,Frozen,13861.25,0
A000128,C00080,B001,Savings,INR,11/26/2023,,open ,4896.43,1000
A000129,C00122,B006,Checking,GBP,2024-12-16,,OPEN,15882.84,250
A000130,C00035,B004,Credit,USD,02/08/2025,,Closed,8860.32,2000
A000131,C00061,B002,Savings,USD,2026-02-13,,Open,10908.35,500
A000132,C00064,B999,Savings,GBP,2024-02-23,,Closed,9974.45,250
A000133,C00081,B009,Credit,INR,02/18/2025,,Frozen,6854.92,0
A000134,C00102,B003,Checking,GBP,2023-05-12,,Frozen,6747.02,0
A000135,C00023,B004,Credit,USD,2023-08-31,,Closed,3709.44,1000
