store_id,store_name,store_format,city,state,region,open_date,square_feet,active_flag
STR0001,Peoria Neighborhood Market 1,Neighborhood Market,Peoria,IL,Midwest,2005-08-11,180000,N
STR0002,Miami Supercenter 2,Supercenter,Miami,FL,South,2023-01-20,120000,Y
STR0003,Peoria Neighborhood Market 3,Neighborhood Market,Peoria,IL,Midwest,05/27/2019,65000,N
STR0004,Dallas Supercenter 4,Supercenter,Dallas,TX,South,02/25/2025,45000,Y
STR0005,Sacramento Neighborhood Market 5,Neighborhood Market,Sacramento,CA,West,02/05/2015,90000,Y
STR0006,Dallas Supercenter 6,Supercenter,Dallas,TX,South,2013-02-27,180000,Yes
STR0007,Sacramento Discount Store 7,Discount Store,Sacramento,CA,West,12/21/2010,65000,1
STR0008,Miami Neighborhood Market 8,Neighborhood Market,Miami,FL,South,2009-11-26,45000,Y
STR0009,Denver Discount Store 9,Discount Store,Denver,CO,West,07/19/2006,180000,1
STR0010,Orlando Supercenter 10,Supercenter,Orlando,FL,South,05/08/2014,90000,N
STR0011,Atlanta Supercenter 11,Supercenter,Atlanta,GA,South,2007-07-15,90000,Y
STR0012,Savannah Supercenter 12,Supercenter,Savannah,GA,South,2016-11-05,150000,1
STR0013,Tacoma Supercenter 13,Supercenter,Tacoma,WA,West,05/27/2007,120000,Y
STR0014,Chicago Discount Store 14,Discount Store,Chicago,IL,Midwest,07/19/2010,45000,Y
STR0015,Savannah Supercenter 15,Supercenter,Savannah,GA,South,12/07/2016,90000,1
STR0016,Sacramento Supercenter 16,Supercenter,Sacramento,CA,West,10/18/2021,120000,Y
STR0017,Austin Supercenter 17,Supercenter,Austin,TX,South,2012-07-14,120000,Y
STR0018,Tacoma Neighborhood Market 18,Neighborhood Market,Tacoma,WA,West,2013-03-05,65000,Y
STR0019,Houston Supercenter 19,Supercenter,Houston,TX,South,09/01/2012,65000,N
STR0020,Sacramento Supercenter 20,Supercenter,Sacramento,CA,West,12/14/2018,120000,Yes
STR0021,Austin Supercenter 21,Supercenter,Austin,TX,South,2015-03-14,120000,1
STR0022,Dallas Neighborhood Market 22,Neighborhood Market,Dallas,TX,South,05/30/2007,150000,Yes
STR0023,Miami Supercenter 23,Supercenter,Miami,FL,South,2020-04-08,90000,N
STR0024,Buffalo Supercenter 24,Supercenter,Buffalo,NY,Northeast,08/27/2006,180000,Y
STR0025,Seattle Supercenter 25,Supercenter,Seattle,WA,West,2025-03-31,65000,Yes
